113034 | (113042, 115045, 117536) | 6
113468 | () | 4
113450 | (117366) | 4
113476 | (116319, 129011, 129020) | 6
116726 | () | 2
129011 | (116394) | 4
116319 | (117889, 117901, 116572, 116343, 116653, 116432, 117943) | 4
129020 | () | 2
113042 | (113417, 116572) | 6
113093 | () | 4
116394 | (117935, 116432) | 4
117889 | (117897, 116441, 117536) | 4
113107 | (116882) | 4
113417 | () | 4
115045 | (116572, 117943) | 4
117366 | () | 4
117897 | (117935) | 4
117901 | () | 4
116572 | (117927) | 4
116343 | (116441, 117951) | 4
117935 | (117960) | 4
116441 | () | 4
116378 | (116416) | 4
116653 | () | 4
116432 | (117951) | 4
117960 | () | 4
116882 | (117951) | 6
116416 | () | 4
117943 | () | 4
117536 | () | 4
117951 | () | 4
117927 | () | 4
117919 | () | 2
116297 | () | 4
